   170.00           4.59727          0.176011
   170.00           4.57029          0.174774
   170.00            4.5983          0.175897
   170.00           4.56766          0.174833
   170.00           4.62723          0.177664
   170.00           4.54188           0.17323
   170.00           4.57651           0.17489
   170.00           4.59328          0.176031
   170.00           4.58329          0.175685
   170.00           4.58541          0.175281
   170.00           4.60786          0.175915
   170.00            4.5629           0.17495
   170.00           4.59034          0.175823
   170.00           4.57922           0.17506
   170.00            4.5544          0.173983
   170.00           4.61257          0.176852
   170.00            4.5946          0.175658
   170.00           4.57283             0.175
   170.00           4.55153          0.173907
   170.00           4.59819          0.176166
   170.00           4.56037          0.174912
   170.00           4.56313          0.174106
   170.00           4.57091          0.174579
   170.00           4.59024          0.175842
   170.00           4.60351          0.175998
   170.00           4.57374           0.17507
   170.00           4.58992          0.175608
   170.00           4.57598          0.175102
   170.00           4.57924          0.175316
   170.00           4.55012          0.173906
   170.00           4.57833          0.175039
   170.00           4.53143          0.173271
   170.00            4.5725          0.175042
   170.00           4.59071          0.175578
   170.00           4.55654          0.174675
   170.00           4.57346          0.174474
   170.00           4.60094          0.176041
   170.00           4.56642          0.174758
   170.00           4.58577          0.175301
   170.00           4.52966          0.173309
   170.00           4.54446          0.173767
   170.00           4.57685          0.175161
   170.00           4.56428           0.17411
   170.00           4.60535          0.176814
   170.00           4.60325           0.17627
   170.00           4.56646          0.174562
   170.00           4.58012          0.175283
   170.00           4.58414          0.175418
   170.00           4.63292          0.177343
   170.00           4.56385          0.174394
